SampleID,Genus/Species,Sex,Mass(kg),Mean_Mass(kg),Citation
Saki,Pithecia pithecia,Male,2,,https://www.jzar.org/jzar/article/view/46/40
Saki,Pithecia pithecia,Female,1.5,1.75,https://www.jzar.org/jzar/article/view/46/40
SpecBr2,Tremarctos ornatus,Male,137.5,,https://www.jzar.org/jzar/article/view/181/112
SpecBr2,Tremarctos ornatus,Female,71,104.25,https://www.jzar.org/jzar/article/view/181/112
SpgbkW,Antidorcas marsupialis,Male,41,,https://watermark.silverchair.com/753-1.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAuAwggLcBgkqhkiG9w0BBwagggLNMIICyQIBADCCAsIGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMOxfiiPuTkFYhIvJbAgEQgIICk8NHDFkuqVAl1XlSxPaiopsuLbcC7M4T6vtUcpcH-NjeY4RbdKdemGlyZ7CiDotOo-6IVItUWLf0RgTA5meRlzGuyR41io3REZm2T13bVor6hQaDA92nNaZ57jVKx39cwlrYq2y31EMWQgeSTRtcO_DEdc4AB0oVD0B4WBmfZbjzTDO2BQXrB_eHM6CGd7gb7m4ypUFHL0fs3MWpT83OLAnjoQHTHukU8FNC33Ve0M-EfsJtp7EYALyQDoKztRnRia5aLt9vZNVI4Pc7gIJ9SVqCSAWpPbenvHFf-rjJW9dqsyCOj12fNpAR_EfDwNNUms5mlQiPJcOTKmkFQI1B88clPOL8FzWHg452NhmlkC_w1UAM0jEkon5qf4Pn9q4ZBooolqMGhxwAhFW579K6oipQN2_gMtl0FIUmcGyQ53dgTm5B5rLGTMxYTn8Q1fpXFKf_hBzSq1LWs1WvpiRCVUPbuMkMWP5nDRQAnp5_NPm0ukP8y41QU5TGwBWrJEF_YTzWjYEJiRDB0tvKXOULD_UGVoZiL40Ee4HHx6ouwPML8pL8yn-HjndQiTxSSLHT8MxEI82xTkpNWFdd64-45JcXn42dP-COPnx9h4G9frcpNC_m1tFuYgFrFzdQe-g1zUsxZtO81W6_q6K9tJMkKHK5CpXq2LM079lCS0kPgf3UEpXlYjb83QLas-5tnYhkevhczKjgjB7dv1xP5nKkFNaqlur7SBkVqBwz0k0If-JALCG33sZQsdH2LUKUozGKM7ZE34aueEHsYPP3DTYj5xOUrDLv-KgowtMnR2OwxymjFuns3OW6ImU_ewi9twTtGddDWQhHuQkcCqHHgHAzRlVDLgn-E65FiqOQpLLJFElRpt_j
SpgbkW,,Female,37,39,https://watermark.silverchair.com/753-1.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAuAwggLcBgkqhkiG9w0BBwagggLNMIICyQIBADCCAsIGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMOxfiiPuTkFYhIvJbAgEQgIICk8NHDFkuqVAl1XlSxPaiopsuLbcC7M4T6vtUcpcH-NjeY4RbdKdemGlyZ7CiDotOo-6IVItUWLf0RgTA5meRlzGuyR41io3REZm2T13bVor6hQaDA92nNaZ57jVKx39cwlrYq2y31EMWQgeSTRtcO_DEdc4AB0oVD0B4WBmfZbjzTDO2BQXrB_eHM6CGd7gb7m4ypUFHL0fs3MWpT83OLAnjoQHTHukU8FNC33Ve0M-EfsJtp7EYALyQDoKztRnRia5aLt9vZNVI4Pc7gIJ9SVqCSAWpPbenvHFf-rjJW9dqsyCOj12fNpAR_EfDwNNUms5mlQiPJcOTKmkFQI1B88clPOL8FzWHg452NhmlkC_w1UAM0jEkon5qf4Pn9q4ZBooolqMGhxwAhFW579K6oipQN2_gMtl0FIUmcGyQ53dgTm5B5rLGTMxYTn8Q1fpXFKf_hBzSq1LWs1WvpiRCVUPbuMkMWP5nDRQAnp5_NPm0ukP8y41QU5TGwBWrJEF_YTzWjYEJiRDB0tvKXOULD_UGVoZiL40Ee4HHx6ouwPML8pL8yn-HjndQiTxSSLHT8MxEI82xTkpNWFdd64-45JcXn42dP-COPnx9h4G9frcpNC_m1tFuYgFrFzdQe-g1zUsxZtO81W6_q6K9tJMkKHK5CpXq2LM079lCS0kPgf3UEpXlYjb83QLas-5tnYhkevhczKjgjB7dv1xP5nKkFNaqlur7SBkVqBwz0k0If-JALCG33sZQsdH2LUKUozGKM7ZE34aueEHsYPP3DTYj5xOUrDLv-KgowtMnR2OwxymjFuns3OW6ImU_ewi9twTtGddDWQhHuQkcCqHHgHAzRlVDLgn-E65FiqOQpLLJFElRpt_j
Squirrel,Callosciurus prevostii,,,0.415666667,https://academic.oup.com/mspecies/article/49/945/40/3866670
Urial2,Ovis orientalis arkal,Male,65,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=dc63a98f5549ab973dbb9556c7fb3b3e41962039
Urial2,,Female,57,61,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=dc63a98f5549ab973dbb9556c7fb3b3e41962039
VWPig,Sus cebifons,,,30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9178973/
ZebraSTL1,Equus greyvi,,,385.8,https://www.frontiersin.org/articles/10.3389/fevo.2021.622412/full#F2
