,SampleID,simpson,body_mass_kg,dataset,inv_simpson
5,X11212.AC684,0.969981687275467,5.8624600000000004,Song et al,33.3129982746409
6,X11212.AC685,0.9771539639603214,5.8624600000000004,Song et al,43.77126947813691
7,X11212.AC691,0.9766978913247782,5.8624600000000004,Song et al,42.9145711204818
8,X11212.AC693,0.97936103679408,5.8624600000000004,Song et al,48.45204625943448
9,X11212.AC711,0.9687744083372696,5.8624600000000004,Song et al,32.02501367471473
10,X11212.Ptr15,0.977867223378752,42.5,Song et al,45.18185933526185
11,X11212.Ptr16,0.9832487384731902,42.5,Song et al,59.69699645603009
12,X11212.Ptr17,0.9786363380862266,42.5,Song et al,46.80845465707777
13,X11212.Ptr3,0.9795022528497144,42.5,Song et al,48.78584913103806
14,X11212.Ptr4,0.8642381581166196,42.5,Song et al,7.365839960089828
15,X11212.Ptr5,0.9844017399553672,42.5,Song et al,64.10971461807934
16,X11212.Ptr6,0.962676793724958,42.5,Song et al,26.792982163182966
17,X11212.Ptr9,0.9845432715776062,42.5,Song et al,64.69674388217862
18,X11212.JB35,0.9671929462974668,17.04983,Song et al,30.48124982716092
19,X11212.JB8,0.9743469201192448,17.04983,Song et al,38.98167411665046
20,X11212.APF108,0.9664838681365496,7.00003,Song et al,29.836378615352942
21,X11212.APF109,0.9245815143055216,7.00003,Song et al,13.25934869669775
22,X11212.APF110,0.9787858377652362,7.00003,Song et al,47.138321510584696
23,X11212.APF113,0.9452195702574532,7.00003,Song et al,18.254694326052736
24,X11212.APF115,0.9569584901715796,7.00003,Song et al,23.233385724301396
25,X11212.APF116,0.9300311917865902,7.00003,Song et al,14.292082794234965
26,X11212.APX.37,0.9816186002846016,7.00003,Song et al,54.40282108452721
27,X11212.APX19,0.978762406944832,7.00003,Song et al,47.08631516774714
28,X11212.APX21,0.9793144118282252,7.00003,Song et al,48.34283616670308
29,X11212.APX38,0.982959206113314,7.00003,Song et al,58.68271200564791
30,X11212.JB19,0.9864698056997244,21.250049999999998,Song et al,73.90876862571237
31,X11212.JB26,0.9747411417002532,21.250049999999998,Song et al,39.59007125868484
32,X11212.BWC2339,0.982665571387576,10.6,Song et al,57.68866239313354
33,X11212.BWC2341,0.9834215900809526,10.6,Song et al,60.31941572702185
34,X11212.BWC2342,0.9800170208737448,10.6,Song et al,50.04258842897553
35,X11212.Apalw10,0.9759893654054193,7.27495,Song et al,41.64821200626251
36,X11212.Apalw19,0.9842485323687514,7.27495,Song et al,63.48614766640211
37,X11212.Apalw20,0.9861509256456048,7.27495,Song et al,72.20699191947338
38,X11212.Apalw23,0.9664334563714376,7.27495,Song et al,29.79156898207065
39,X11212.Apalw8,0.9505323707237028,7.27495,Song et al,20.21524003939193
40,X11212.Apalw9,0.9761200888714452,7.27495,Song et al,41.87620274701245
41,X11212.JB30,0.9747026425744711,17.72856,Song et al,39.52982057291284
42,X11212.JB31,0.9840711050452196,17.72856,Song et al,62.778993950229314
43,X11212.JB4,0.9900454120067176,17.72856,Song et al,100.45619172534543
44,X11212.ERUB.108M,0.9705407135158164,1.4,Song et al,33.94515344208658
45,X11212.ERUB.13M,0.9664302218137388,1.4,Song et al,29.788698467160618
46,X11212.ERUB.14M,0.968458447274244,1.4,Song et al,31.704209640365196
47,X11212.ERUB.21M,0.968270132902848,1.4,Song et al,31.51604754404277
48,X11212.ERUB.33M,0.93499466002136,1.4,Song et al,15.383351588170886
49,X11212.ERUB.4M,0.9644830969706591,1.4,Song et al,28.155608026237267
50,X11212.ERUB.76M,0.9335281431173444,1.4,Song et al,15.04396066090534
51,X11212.ERUB.79M,0.9550192544936192,1.4,Song et al,22.231734684302747
52,X11212.ERUB.98M,0.9548841919867778,1.4,Song et al,22.16517987901107
53,X11212.RT2050,0.9847889401794192,3.55,Song et al,65.74163876779872
54,X11212.RT2135,0.9807152908784488,3.55,Song et al,51.85455449169678
55,X11212.Lc155,0.969493742412842,2.9,Song et al,32.78015984566274
56,X11212.Lc172,0.9725519772713151,2.9,Song et al,36.43249679165193
57,X11212.Lc23,0.9586776970343642,2.9,Song et al,24.200006491206807
58,X11212.Lc268,0.9521978523720254,2.9,Song et al,20.91956218751107
59,X11212.Lc316,0.9605284162796868,2.9,Song et al,25.33468145301124
60,X11212.Lc318,0.8999651101672601,2.9,Song et al,9.996512233601873
61,X11212.Lc331,0.9578053131554788,2.9,Song et al,23.69966635099806
62,X11212.Lc336,0.9728949192790488,2.9,Song et al,36.893452201639754
63,X11212.Asen1013,0.9744942108320208,6.14554,Song et al,39.206785307213046
64,X11212.Asen1019,0.9748658694007885,6.14554,Song et al,39.78653632170471
65,X11212.Asen1118,0.9742635316439344,6.14554,Song et al,38.855369981807144
66,X11212.AsenLink5,0.9596636059993155,6.14554,Song et al,24.791507143227317
67,X11212.Gor4,0.978708287272114,131.62552,Song et al,46.9666302932168
68,X11212.Gor5,0.9305496677182268,131.62552,Song et al,14.398779201556728
69,X11212.Gor6,0.9564343340410572,131.62552,Song et al,22.95385547284919
70,X11212.Gor7,0.9800099206251376,131.62552,Song et al,50.024813871299735
71,X11212.Gor8,0.971784282613562,131.62552,Song et al,35.44123958658068
72,X11212.Gor9,0.9821580613954553,131.62552,Song et al,56.047721167770256
73,X11212.RC2137,0.9678555572758318,8.430399999999999,Song et al,31.109576500703763
74,X11212.RC2138,0.975340639357664,8.430399999999999,Song et al,40.55255180798029
75,X11212.RC2141,0.9793234843681125,8.430399999999999,Song et al,48.364048266323415
76,X11166.ATL.24593.lemur,0.9125636335127788,3.85,Song et al,11.436888793247713
77,X11166.ATL.24596.lemur,0.9584273738251308,3.85,Song et al,24.054289853944873
78,X11166.ATL.24053.bongo,0.9763951840591528,329.00311,Song et al,42.36423628576321
79,X11166.ATL.24064.bongo,0.9791862917866888,329.00311,Song et al,48.045258910685625
80,X11166.ATL.24071.dog,0.8561553139937025,5.99998,Song et al,6.951942597005078
81,X11166.ATL.24074.dog,0.7733555281845355,5.99998,Song et al,4.41219674139772
82,X11166.ATL.24558.chinchilla,0.9604236481669032,0.417,Song et al,25.267614463739484
83,X11166.ATL.24574.chinchilla,0.9648772396600164,0.417,Song et al,28.47156630971295
84,X11166.ATL.25137.tamarin,0.8179203174600044,0.5355,Song et al,5.49210096398504
85,X11166.ATL.24595.orangutan,0.9473114612804708,37.0,Song et al,18.97945975163944
86,X11166.ATL.25007.hedgehog,0.7098561903813327,0.18,Song et al,3.446566726046262
87,X11166.ATL.24050.lion,0.8878777258298169,161.49906,Song et al,8.918834436787872
88,X11166.ATL.24078.sunbear,0.7166443436165313,46.5,Song et al,3.5291337140158854
89,X11166.ATL.24082.sunbear,0.8848727428358985,46.5,Song et al,8.686040340339277
90,X11166.ATL.24564.meerkat,0.919626645260732,0.7255,Song et al,12.44193431074279
91,X11166.ATL.24497.nakedmolerat,0.9598606773439944,0.055,Song et al,24.913225581059493
92,X11166.ATL.24562.porcupine,0.9849069620896032,4.399970000000001,Song et al,66.2557137891471
93,X11166.ATL.24578.porcupine,0.9861274948252008,4.399970000000001,Song et al,72.08503348166701
94,X11166.ATL.24592.lemur,0.8546622894948863,2.9,Song et al,6.88052671618778
95,X11166.ATL.24995.monkey,0.969534766071462,3.55,Song et al,32.82430072080496
96,X11166.ATL.25124.elephant,0.9838774260415424,3940.03428,Song et al,62.02483564824446
97,X11166.ATL.24550.armadillo,0.9032453461321888,1.2,Song et al,10.33542015835462
98,X11166.ATL.24999.orangutan,0.9773504041717904,37.0,Song et al,44.15089821402118
99,X11166.ATL.24076.tiger,0.9114948094224244,162.564,Song et al,11.298772348538039
100,X11166.ATL.24079.tiger,0.8779357210548997,162.564,Song et al,8.192404925029383
101,X11166.ATL.24570.warthog,0.9665256018200304,82.5,Song et al,29.873576654721788
102,X11166.ATL.25126.zebra,0.9759714570005986,276.0,Song et al,41.61717171219715
103,X11166.NZ.16840.A2.lessershorttailedbat,0.8680620364499152,0.0126,Song et al,7.5793196521514545
104,X11166.NZ.16842.A2.lessershorttailedbat,0.841093398839701,0.0126,Song et al,6.29300477575024
105,X1696.CT0001.3,0.9793633246519644,12.267149999999999,Song et al,48.45741783185004
106,X1696.CT0002.1,0.9702319315930492,12.267149999999999,Song et al,33.59304293208699
107,X1696.CT0002.4,0.9751498793450808,12.267149999999999,Song et al,40.24125330763917
108,X1696.CT0003.2,0.9813371148731472,12.267149999999999,Song et al,53.582283403822025
109,X1696.CT0003.3,0.9830717844995656,12.267149999999999,Song et al,59.072971984219855
110,X1696.CT0004.2,0.967372977045488,12.267149999999999,Song et al,30.64944053872708
111,X1696.CT0004.3,0.9668903179234928,12.267149999999999,Song et al,30.202645790717035
112,X1696.CT0005.0A,0.9801207633950628,12.267149999999999,Song et al,50.303742536654624
113,X1696.CT0005.0B,0.9810596529359036,12.267149999999999,Song et al,52.7973429745442
114,X1696.CT0010.3A,0.8664715807618764,12.267149999999999,Song et al,7.48904245033173
115,X1696.CT0014.0B,0.9723774689388776,12.267149999999999,Song et al,36.20233054629299
116,X1696.CT0015.1,0.930745476796486,12.267149999999999,Song et al,14.439490068560023
117,X1696.CT0017.3A,0.9598407966478936,12.267149999999999,Song et al,24.900892361639638
118,X1696.VH0004B,0.9806492585664006,7.1,Song et al,51.67760643339817
119,X1696.VH0005B,0.9696293571612418,7.1,Song et al,32.926533867232656
120,X1696.VH0006B,0.9519265439835748,7.1,Song et al,20.8015000972331
121,X1696.VH0007B,0.9742151710617534,7.1,Song et al,38.78249502430091
122,X1696.VH0009B,0.9735875090848668,7.1,Song et al,37.8608743572551
123,X1696.VH0010A,0.975275001503872,7.1,Song et al,40.44489629217182
124,X1696.VH0011A,0.9799210886258948,7.1,Song et al,49.803496881292595
125,X1696.VH0025A,0.9796393665394868,7.1,Song et al,49.11438546051968
126,X1696.VH0026A,0.975975322691507,7.1,Song et al,41.62386812356844
127,X1696.VH0027B,0.9736666374110128,7.1,Song et al,37.97464135545707
128,X1696.VH0038A,0.9746711648056456,7.1,Song et al,39.48069432829244
129,X1696.VH0038B,0.9734844765884094,7.1,Song et al,37.71375674835352
130,X1696.VH0001A,0.9753045858730692,10.6,Song et al,40.493348071028414
131,X1696.VH0001B,0.974382263578979,10.6,Song et al,39.035455106776475
132,X1696.VH0039A,0.9696519201734828,10.6,Song et al,32.951013893347906
133,X1696.VH0039B,0.9474163082849054,10.6,Song et al,19.017303034144742
134,X1696.VH0012A,0.974033325805755,9.0,Song et al,38.510900260828514
135,X1696.VH0013A,0.9736022618236396,9.0,Song et al,37.88203342722435
136,X1696.VH0014A,0.9745719980000966,9.0,Song et al,39.326723350257744
137,X1696.VH0015B,0.9698092301259604,9.0,Song et al,33.12270618378234
138,X1696.VH0016A,0.9704468324508974,9.0,Song et al,33.83732042727732
139,X1696.VH0017A,0.9701741829043764,9.0,Song et al,33.52800014812443
140,X1696.VH0028A,0.9594563576316332,9.0,Song et al,24.66477952114695
141,X1696.VH0028B,0.9711657720682136,9.0,Song et al,34.68100489341062
142,X1696.VH0029A,0.9587106737445626,9.0,Song et al,24.21933440651168
143,X1696.VH0029B,0.9559026043120205,9.0,Song et al,22.677076149251796
144,X1696.VH0030A,0.9715274902889308,9.0,Song et al,35.12159659080677
145,X1696.VH0030B,0.9694517720544076,9.0,Song et al,32.73512302517314
146,X1696.VH0031A,0.9529167130976904,9.0,Song et al,21.238958997804108
147,X1696.VH0031B,0.9532880560998532,9.0,Song et al,21.407801014182542
148,X1696.VH0032A,0.965662290481032,9.0,Song et al,29.122501588162283
149,X1696.VH0032B,0.9660946167295664,9.0,Song et al,29.49384149484095
150,X1696.VH0033A,0.9541604399787388,9.0,Song et al,21.81521811152162
151,X1696.VH0033B,0.9542640247167544,9.0,Song et al,21.864626124335196
152,X1696.VH0034A,0.9695004482031934,9.0,Song et al,32.787367062380966
153,X1696.VH0034B,0.9715007460191766,9.0,Song et al,35.08863778233914
154,X1696.VH0035A,0.964715117316816,9.0,Song et al,28.340748897447202
155,X1696.VH0036A,0.9543907247085692,9.0,Song et al,21.92536482130606
156,X1696.VH0037A,0.9608069038083958,9.0,Song et al,25.514697667958607
157,X1696.VH0018B,0.9417429729727064,8.83,Song et al,17.16531122557106
158,X1696.VH0019A,0.9793337402827674,8.83,Song et al,48.38804958819662
159,X1696.VH0020B,0.9720086504695532,8.83,Song et al,35.725322886353815
160,X1696.VH0002B,0.9817301530793876,8.31,Song et al,54.73499610288363
161,X1696.VH0003B,0.9774414451372664,8.31,Song et al,44.32908074497204
162,X1696.VH0008B,0.9609542734128232,8.31,Song et al,25.6109973460813
163,X1696.VH0021B,0.9665913185654736,8.31,Song et al,29.93233965129032
164,X1696.VH0022B,0.9753523942136918,8.31,Song et al,40.57189199916132
165,X1696.VH0023B,0.9723261104739516,8.31,Song et al,36.13514461199016
166,X1696.VH0024B,0.9673725036955808,8.31,Song et al,30.64899588585828
167,X1696.VH0040A,0.969050450224792,8.31,Song et al,32.31064772389822
168,X1696.VH0040B,0.968022097551499,8.31,Song et al,31.271594552221085
169,X1696.CT0019.2,0.9746933333596306,13.4568,Song et al,39.515279282368695
170,X1696.CT0020.1,0.9672950320941098,13.4568,Song et al,30.576394475528588
171,X1696.CT0021.2,0.9680714837251454,13.4568,Song et al,31.31996461694504
172,X1696.FTA.A.0,0.9388912764570548,5.28494,Song et al,16.36427570438832
173,X1696.FTA.A.12,0.9421424014026936,5.28494,Song et al,17.28381447284186
174,X1696.FTA.A.24a,0.9560698546125485,5.28494,Song et al,22.763412030173832
175,X1696.FTA.A.24b,0.9327588706265674,5.28494,Song et al,14.871850150617874
176,X1696.FTA.A.2a,0.9314977086906056,5.28494,Song et al,14.598051844476906
177,X1696.FTA.A.2b,0.9353352352795576,5.28494,Song et al,15.464372356772401
178,X1696.FTA.B.0,0.9299397563628582,5.28494,Song et al,14.273430237828334
179,X1696.FTA.B.12,0.9374327276098098,5.28494,Song et al,15.982796784933647
180,X1696.FTA.B.24,0.9387840627030845,5.28494,Song et al,16.33561526877718
181,X1696.FTA.B.2a,0.9531903882356768,5.28494,Song et al,21.363133816080236
182,X1696.FTA.B.2b,0.9585179414406996,5.28494,Song et al,24.106807490531263
183,X1696.FTA.C.0,0.941957716047252,5.28494,Song et al,17.228818921290138
184,X1696.FTA.C.12a,0.9491366196308068,5.28494,Song et al,19.660510031804268
185,X1696.FTA.C.12b,0.934709703377253,5.28494,Song et al,15.316211622962703
186,X1696.FTA.C.2,0.9360396588330544,5.28494,Song et al,15.634688335852642
187,X1696.FTA.C.24,0.9395099447857056,5.28494,Song et al,16.531643035493378
188,X1696.FTA.D.0,0.9363094682801324,5.28494,Song et al,15.700920890381894
189,X1696.FTA.D.12a,0.9350847542870216,5.28494,Song et al,15.404701761763066
190,X1696.FTA.D.12b,0.9492135389907194,5.28494,Song et al,19.69028713808709
191,X1696.FTA.D.2,0.940786096135394,5.28494,Song et al,16.887925550163416
192,X1696.FTA.D.24a,0.9323697770028864,5.28494,Song et al,14.786288669234148
193,X1696.FTA.D.24b,0.9516161053361328,5.28494,Song et al,20.668034414079415
194,X1696.X.A.12,0.9245450663626708,5.28494,Song et al,13.252943867215564
195,X1696.X.A.2,0.910781155545738,5.28494,Song et al,11.208394438605959
196,X1696.X.B.0,0.9112935568202324,5.28494,Song et al,11.273138276702797
197,X1696.X.B.12,0.941629132320036,5.28494,Song et al,17.13183373395789
198,X1696.X.B.2,0.9252548545484488,5.28494,Song et al,13.378795291102707
199,X1696.X.B.24,0.9165626513117217,5.28494,Song et al,11.98504046114884
200,X1696.X.C.0,0.9052395692910304,5.28494,Song et al,10.552927973398763
201,X1696.X.C.12,0.9145492574816404,5.28494,Song et al,11.702648456040555
202,X1696.X.C.2,0.9249639021388512,5.28494,Song et al,13.326919023034195
203,X1696.X.C.24,0.9306482822822172,5.28494,Song et al,14.419253522592781
204,X1696.X.D.0,0.9226594770075214,5.28494,Song et al,12.929832399727244
205,X1696.X.D.12,0.9224728982524512,5.28494,Song et al,12.898715126179946
206,X1696.X.D.2,0.9186623526082072,5.28494,Song et al,12.294429849724207
207,X1696.X.D.24,0.9143418513306556,5.28494,Song et al,11.67431254976309
208,X1696.CT0006.2,0.9871225552216903,12.0,Song et al,77.65515730918662
209,X1696.CT0006.3,0.9885204363891684,12.0,Song et al,87.1113252995477
210,X1696.CT0007.3,0.982138259591006,12.0,Song et al,55.985585788519494
211,X1696.CT0007.4,0.9830926907871316,12.0,Song et al,59.14601711068748
212,X1696.CT0008.3,0.9837474126003772,12.0,Song et al,61.52866466192397
213,X1696.CT0008.6,0.9850820226635992,12.0,Song et al,67.03321619613536
214,X1734.BD.NBS1054,0.8087595767068455,0.0065,Song et al,5.229020009368465
215,X1734.LD.NBS1054E,0.881593059112528,0.0065,Song et al,8.44545085368222
216,X1734.LD.NBS1053E,0.6856566497279717,0.03121,Song et al,3.1812347839857726
217,X1734.BD.NBS1055,0.960146738471218,0.009210000000000001,Song et al,25.09204922356984
218,X1734.LD.NBS1055E,0.9203629410413108,0.009210000000000001,Song et al,12.556967987965729
219,X1734.LD.NBS1073B,0.1213509011891931,0.009210000000000001,Song et al,1.1381107672601423
220,X1734.BD.ERD505,0.6422227722723457,0.00405,Song et al,2.795035353008034
221,X1734.BD.ERD507,0.9409940545279368,0.00405,Song et al,16.94744473628438
222,X1734.BD.ERD511,0.7859638340948022,0.00405,Song et al,4.672107612144978
223,X1734.LD.NBS1079E,0.9533368900319412,0.00405,Song et al,21.430204730985714
224,X1734.BD.ERD501,0.5165690415354682,0.03767,Song et al,2.068547705707945
225,X1734.LD.NBS1060E,0.824885976910386,0.03767,Song et al,5.710564935671962
226,X1734.LD.Artlit1,0.8683196176910584,0.06054,Song et al,7.594145631001072
227,X1734.LD.NBS1081E,0.4060374991741032,0.06054,Song et al,1.6836079695427126
228,X1734.BD.NBS1076,0.0441902117156072,0.05832,Song et al,1.046233269691583
229,X1734.LD.NBS1076E,0.1596164287919025,0.05832,Song et al,1.189932828604021
230,X1734.BD.NBS1062,0.5263937344250624,0.00942,Song et al,2.1114585525722367
231,X1734.LD.NBS1062E,0.5406658652589766,0.00942,Song et al,2.177064416437957
232,X1734.LD.Perkap1,0.3324384521852496,0.00942,Song et al,1.497989216535135
233,X1734.LD.QCAZ.M50990,0.5797643309149754,0.015099999999999999,Song et al,2.37961713763444
234,X1734.LD.QCAZ.M51303,0.560686830715281,0.015099999999999999,Song et al,2.276280498552275
235,X1734.LD.NBS1067E,0.591955931123644,0.04217,Song et al,2.450715685572227
236,X1734.LD.QCAZ.M50993,0.8735519486730917,0.00873,Song et al,7.908386009165796
237,X1734.LD.QCAZ.M51307,0.0843847979732734,0.00873,Song et al,1.092161857717616
238,X1734.BD.ERD503,0.8603861154638484,0.019100000000000002,Song et al,7.162611393002677
239,X1734.BD.ERD504,0.9261698399189784,0.019100000000000002,Song et al,13.54460018646302
240,X1734.BD.ERD510,0.6658889264719949,0.019100000000000002,Song et al,2.9930166319859506
241,X1734.LD.NBS1047C,0.6909879108406003,0.019100000000000002,Song et al,3.236119346399304
242,X1734.LD.Sl1,0.6829860095518068,0.019100000000000002,Song et al,3.154434914958181
243,X1734.LD.Stulil2,0.886523392853797,0.019100000000000002,Song et al,8.812388959705169
244,X1734.LD.DTS1222,0.8273088973018069,0.00943,Song et al,5.7906862853708745
245,X1734.LD.DTS1224,0.702081418156322,0.00943,Song et al,3.3566217783780727
246,X1734.LD.Glosor1,0.186904656481097,0.00943,Song et al,1.2298680689428296
247,X1734.LD.Glosor2,0.9266330128031288,0.00943,Song et al,13.630108557090185
248,X1734.BD.NBS1051,0.4855088462194629,0.01967,Song et al,1.9436680157703217
249,X1734.LD.NBS1051E,0.7018783510461525,0.01967,Song et al,3.354335398013349
250,X1734.LD.NBS1051F,0.6343784176109833,0.01967,Song et al,2.7350683005797314
251,X1734.LD.Ptepar1,0.8152694001966374,0.01967,Song et al,5.413288329407553
252,X1734.LD.Ptepar2,0.7719271159480459,0.01967,Song et al,4.384563312542686
253,X1734.BD.NBS1086,0.52684546801979,0.02222,Song et al,2.1134744199001476
254,X1734.LD.NBS1086E,0.737683958073032,0.02222,Song et al,3.812195368053061
255,X11166.FD.0087.aardvark,0.8778937506964654,52.3504,Song et al,8.189589031714307
256,X11166.FD.0088.aardvark,0.8335703698736452,52.3504,Song et al,6.0085454689816435
257,X11166.FD.0089.aardvark,0.9125004413001738,52.3504,Song et al,11.428629068068506
258,X11166.FD.0090.aardvark,0.9165905000645924,52.3504,Song et al,11.989042024882073
259,X11166.FD.0013.addax,0.985204620289552,70.00032,Song et al,67.58866751448328
260,X11166.FD.0014.addax,0.9841004527394632,70.00032,Song et al,62.8948726409358
261,X11166.FD.0024.elephant,0.9711124413120076,3940.03428,Song et al,34.61697856855125
262,X11166.FD.0027.elephant,0.9213014361238954,3940.03428,Song et al,12.706712178055787
263,X11166.FD.0029.elephant,0.8982805367393489,3940.03428,Song et al,9.830960250326427
264,X11166.FD.0458.elephant,0.9466633663659252,3940.03428,Song et al,18.748839809813884
265,X11166.FD.0103.lion,0.9385244302790102,161.49906,Song et al,16.266624360515152
266,X11166.FD.0271.lion,0.94701104187273,161.49906,Song et al,18.871856238391757
267,X11166.FD.0280.lion,0.8607044432764097,161.49906,Song et al,7.178979886518131
268,X11166.FD.0438.lion,0.9534785005458316,161.49906,Song et al,21.4954378455744
269,X11166.FD.18943.lion,0.9520616064904162,161.49906,Song et al,20.860106624142087
270,X11166.FD.0268.wilddog,0.8771356808201576,22.050069999999998,Song et al,8.13905946555771
271,X11166.FD.0007.bharal,0.9807748540750988,45.0,Song et al,52.0152098666132
272,X11166.FD.0008.bharal,0.976293492720766,45.0,Song et al,42.182510827985354
273,X11166.FD.0482.colobus,0.9689209890251852,10.6,Song et al,32.17605607882311
274,X11166.FD.0403.blackbuck,0.9796249293673184,37.5,Song et al,49.07958446023738
275,X11166.FD.0451.blackbuck,0.980701090381234,37.5,Song et al,51.816398944508904
276,X11166.FD.0189.monkey,0.8456261186589603,0.61501,Song et al,6.4777797339358205
277,X11166.FD.0192.monkey,0.7037109252117009,0.61501,Song et al,3.375082259494407
278,X11166.FD.0259.monkey,0.8486986329062994,0.61501,Song et al,6.609325607617957
279,X11166.FD.0277.monkey,0.4495737779929768,0.61501,Song et al,1.8167739108680045
280,X11166.FD.0493.wildebeest,0.9814318637462291,179.99895999999998,Song et al,53.85570131180604
281,X11166.FD.0153.wildebeest,0.9846103294811196,179.99895999999998,Song et al,64.97864907329736
282,X11166.FD.0156.wildebeest,0.696600026231474,179.99895999999998,Song et al,3.295979190700041
283,X11166.FD.0159.wildebeest,0.9805777827304204,179.99895999999998,Song et al,51.487427316873244
284,X11166.FD.0162.wildebeest,0.9823294929534964,179.99895999999998,Song et al,56.591471731302946
285,X11166.FD.0293.bongo,0.9763312818216872,329.00311,Song et al,42.24985875729761
286,X11166.FD.0126.hyena,0.973279673861914,42.97793,Song et al,37.424692903528786
287,X11166.FD.0093.caracal,0.9200607071255926,13.74991,Song et al,12.509492691799263
288,X11166.FD.0168.cheetah,0.9516767730158996,46.7,Song et al,20.693982219544772
289,X11166.FD.0077.eland,0.9785394591385624,569.99363,Song et al,46.597148061487104
290,X11166.FD.0078.eland,0.9792946889154271,569.99363,Song et al,48.2967870376544
291,X11166.FD.0048.dromedary,0.9657461523062496,601.0,Song et al,29.193800618855725
292,X11166.FD.18907.dromedary,0.7010393383357214,601.0,Song et al,3.344921684455468
293,X11166.FD.02770.gemsbok,0.9791009310200988,169.00128,Song et al,47.84902145457801
294,X11166.FD.0475.tamarin,0.9249822838935792,0.5355,Song et al,13.330184547092726
295,X11166.FD.0313.mangabey,0.9808316560639576,12.0,Song et al,52.169347719167966
296,X11166.FD.0316.mangabey,0.9828166488996094,12.0,Song et al,58.1958661123597
297,X11166.FD.0165.kudu,0.9830959253448304,213.50104000000002,Song et al,59.157334571648875
298,X11166.FD.01680.kudu,0.9782787222313716,213.50104000000002,Song et al,46.0378072897847
299,X11166.FD.0223.kudu,0.9823636530384626,213.50104000000002,Song et al,56.70108453756736
300,X11166.FD.0222.zebra,0.9880159242797932,407.99985,Song et al,83.44406555391379
301,X11166.FD.02590.zebra,0.9672562174017232,407.99985,Song et al,30.54014901908817
302,X11166.FD.0071.guanaco,0.9868926649501158,142.5,Song et al,76.29315922681312
303,X11166.FD.0072.guanaco,0.9858387513818364,142.5,Song et al,70.61524212754613
304,X11166.FD.0366.baboon,0.9440938652865888,18.026049999999998,Song et al,17.887124644303338
305,X11166.FD.0388.baboon,0.7583385812717137,18.026049999999998,Song et al,4.138020894118631
306,X11166.FD.0204.zebra,0.9855820379488563,286.99875,Song et al,69.35792981371307
307,X11166.FD.0207.zebra,0.9775294882199972,286.99875,Song et al,44.50276921996633
308,X11166.FD.02410.zebra,0.9776330729580128,286.99875,Song et al,44.70886850584352
309,X11166.FD.01830.impala,0.9839819574793724,52.500080000000004,Song et al,62.42960078999854
310,X11166.FD.0238.impala,0.9834140953740894,52.500080000000004,Song et al,60.29215906847763
311,X11166.FD.0265.impala,0.978704579364508,52.500080000000004,Song et al,46.95845257610705
312,X11166.FD.0303.deer,0.9835482900727676,34.4185,Song et al,60.783955249825105
